pairId,pairName,open,high,low,close,created
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T02:30:48Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T02:30:48Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T02:30:48Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T02:30:48Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T02:30:48Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T02:30:48Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T02:30:48Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T02:30:48Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T02:30:48Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T02:30:48Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T02:45:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T02:45:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T02:45:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T02:45:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T02:45:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T02:45:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T02:45:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T02:45:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T02:45:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T02:45:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T03:00:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T03:00:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T03:00:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T03:00:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T03:00:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T03:00:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T03:00:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T03:00:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T03:00:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T03:00:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T03:15:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T03:15:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T03:15:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T03:15:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T03:15:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T03:15:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T03:15:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T03:15:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T03:15:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T03:15:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T03:30:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T03:30:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T03:30:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T03:30:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T03:30:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T03:30:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T03:30:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T03:30:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T03:30:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T03:30:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T03:45:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T03:45:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T03:45:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T03:45:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T03:45:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T03:45:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T03:45:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T03:45:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T03:45:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T03:45:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T04:00:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T04:00:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T04:00:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T04:00:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T04:00:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T04:00:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T04:00:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T04:00:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T04:00:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T04:00:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T04:15:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T04:15:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T04:15:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T04:15:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T04:15:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T04:15:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T04:15:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T04:15:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T04:15:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T04:15:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T04:30:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T04:30:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T04:30:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T04:30:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T04:30:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T04:30:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T04:30:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T04:30:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T04:30:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T04:30:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T04:45:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T04:45:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T04:45:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T04:45:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T04:45:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T04:45:02Z
6,"eur/chf",1.163535,1.163535,1.163535,1.163535,2017-12-16T04:45:02Z
7,"usd/cad",1.28847,1.28847,1.28847,1.28847,2017-12-16T04:45:02Z
8,"aud/usd",0.76437,0.76437,0.76437,0.76437,2017-12-16T04:45:02Z
9,"gbp/jpy",150.0765,150.0765,150.0765,150.0765,2017-12-16T04:45:02Z
0,"eur/usd",1.1755,1.1755,1.1755,1.1755,2017-12-16T05:00:02Z
1,"usd/jpy",112.6325,112.6325,112.6325,112.6325,2017-12-16T05:00:02Z
2,"gbp/usd",1.332415,1.332415,1.332415,1.332415,2017-12-16T05:00:02Z
3,"eur/gbp",0.8822449999999999,0.8822449999999999,0.8822449999999999,0.8822449999999999,2017-12-16T05:00:02Z
4,"usd/chf",0.989815,0.989815,0.989815,0.989815,2017-12-16T05:00:02Z
5,"eur/jpy",132.399,132.399,132.399,132.399,2017-12-16T05:00:02Z
